speaker,text,wordCount,wordNumber,start,end,lemmata
Οἰδίπους,τίνων τὸ σεμνὸν ὄνομ᾽ ἂν εὐξαίμην κλύων,7,270,263,270,τίς ὁ σεμνός ὄνομ ̓ ἄν εὔχομαι κλύω
Ξένος,τὰς πάνθ᾽ ὁρώσας Εὐμενίδας ὅ γ᾽ ἐνθάδ᾽ ἂν εἴποι λεώς νιν ἄλλα δ᾽ ἀλλαχοῦ καλά,15,285,270,285,ὁ πάνθ ̓ ὁράω Εὐμενίδας ὁ γ ̓ ἐνθάδ ̓ ἄν εἶπον λαός νιν ἄλλος δ ̓ ἀλλαχοῦ καλός
Οἰδίπους,ἀλλ᾽ ἵλεῳ μὲν τὸν ἱκέτην δεξαίατο ὡς οὐχ ἕδρας γῆς τῆσδ᾽ ἂν ἐξέλθοιμ᾽ ἔτι,14,299,285,299,ἀλλ ̓ ἴλαος μέν ὁ ἱκέτης δέχομαι ὡς οὐ ἕδρα γῆ τῆσδ ̓ ἄν ἐξέλθοιμ ̓ ἔτι
Ξένος,τί δ᾽ ἐστὶ τοῦτο,4,303,299,303,τίς δ ̓ εἰμί οὗτος
Οἰδίπους,ξυμφορᾶς ξύνθημ᾽ ἐμῆς,3,306,303,306,συμφορά ξύνθημ ̓ ἐμός
Ξένος,ἀλλ᾽ οὐδ᾽ ἐμοί τοι τοὐξανιστάναι πόλεως δίχ᾽ ἐστὶ θάρσος πρίν γ᾽ ἂν ἐνδείξω τί δρῶ,15,321,306,321,ἀλλ ̓ οὐδ ̓ ἐγώ σύ ἐξανίστημι πόλις δίχ ̓ εἰμί θάρσος πρίν γ ̓ ἄν ἐνδείκνυμι τίς δράω
Οἰδίπους,πρός νυν θεῶν ὦ ξεῖνε μή μ᾽ ἀτιμάσῃς τοιόνδ᾽ ἀλήτην ὧν σε προστρέπω φράσαι,14,335,321,335,πρός νῦν θεός ὦ ξένος μή μ ̓ ἀτιμάω τοιόνδ ̓ ἀλήτης ὅς σύ προστρέπω φράζω
Ξένος,σήμαινε κοὐκ᾽ ἄτιμος ἔκ γ᾽ ἐμοῦ φανεῖ,7,342,335,342,σημαίνω κοὐκ ̓ ἄτιμος ἐκ γ ̓ ἐγώ φαίνω
Οἰδίπους,τίς ἔσθ᾽ ὁ χῶρος δῆτ᾽ ἐν ᾧ βεβήκαμεν,8,350,342,350,τις ἔσθ ̓ ὁ χῶρος δῆτ ̓ ἐν ὅς βαίνω
Ξένος,ὅσ᾽ οἶδα κἀγὼ πάντ᾽ ἐπιστήσει κλύων χῶρος μὲν ἱερὸς πᾶς ὅδ᾽ ἔστ᾽ ἔχει δέ νιν σεμνὸς Ποσειδῶν ἐν δ᾽ ὁ πυρφόρος θεὸς Τιτὰν Προμηθεύς ὃν δ᾽ ἐπιστείβεις τόπον χθονὸς καλεῖται τῆσδε χαλκόπους ὀδός ἔρεισμ᾽ Ἀθηνῶν οἱ δὲ πλησίοι γύαι τόνδ᾽ ἱππότην Κολωνὸν εὔχονται σφίσιν ἀρχηγὸν εἶναι καὶ φέρουσι τοὔνομα τὸ τοῦδε κοινὸν πάντες ὠνομασμένοι τοιαῦτά σοι ταῦτ᾽ ἐστίν ὦ ξέν᾽ οὐ λόγοις τιμώμεν᾽ ἀλλὰ τῇ ξυνουσίᾳ πλέον,67,417,350,417,ὅσ ̓ οἶδα ἐγώ πάντ ̓ ἐφίστημι κλύω χῶρος μέν ἱερός πᾶς ὅδ ̓ ἔστ ̓ ἔχω δέ νιν σεμνός Ποσειδῶν ἐν δ ̓ ὁ πυρφόρος θεός Τιτὰν Προμηθεύς ὅς δ ̓ ἐπιστείβω τόπος χθών καλέω ὅδε χαλκόπους οὐδός ἔρεισμ ̓ Ἀθῆναι ὁ δέ πλησίος γύης τόνδ ̓ ἱππότης Κολωνὸν εὔχομαι σφεῖς ἀρχηγός εἰμί καί φέρω ὄνομα ὁ ὅδε κοινός πᾶς ὀνομάζω τοιοῦτος σύ ταῦτ ̓ εἰμί ὦ ξέν ̓ οὐ λόγος τιμώμεν ̓ ἀλλά ὁ συνουσία πλείων
Οἰδίπους,ἦ γάρ τινες ναίουσι τούσδε τοὺς τόπους,7,424,417,424,εἰμί γάρ τις ναίω ὅδε ὁ τόπος
Ξένος,καὶ κάρτα τοῦδε τοῦ θεοῦ γ᾽ ἐπώνυμοι,7,431,424,431,καί κάρτα ὅδε ὁ θεός γ ̓ ἐπώνυμος
Οἰδίπους,ἄρχει τις αὐτῶν ἢ πὶ τῷ πλήθει λόγος,8,439,431,439,ἄρχω τις αὐτός ἤ ἐπί ὁ πλῆθος λόγος
Ξένος,ἐκ τοῦ κατ᾽ ἄστυ βασιλέως τάδ᾽ ἄρχεται,7,446,439,446,ἐκ ὁ κατ ̓ ἄστυ βασιλεύς τάδ ̓ ἄρχω
Οἰδίπους,οὗτος δὲ τίς λόγῳ τε καὶ σθένει κρατεῖ,8,454,446,454,οὗτος δέ τις λόγος τε καί σθένος κρατέω
Ξένος,Θησεὺς καλεῖται τοῦ πρὶν Αἰγέως τόκος,6,460,454,460,Θησεύς καλέω ὁ πρίν Αἰγέως τόκος
Οἰδίπους,ἆρ᾽ ἄν τις αὐτῷ πομπὸς ἐξ ὑμῶν μόλοι,8,468,460,468,ἆρ ̓ ἀνά τις αὐτός πομπός ἐκ σύ βλώσκω
Ξένος,ὡς πρὸς τί λέξων ἢ καταρτύσων μολεῖν,7,475,468,475,ὡς πρός τίς λέγω1 ἤ καταρτύω βλώσκω
Οἰδίπους,ὡς ἂν προσαρκῶν σμικρὰ κερδάνῃ μέγα,6,481,475,481,ὡς ἄν προσαρκέω σμικρός κερδαίνω μέγας
Ξένος,καὶ τίς πρὸς ἀνδρὸς μὴ βλέποντος ἄρκεσις,7,488,481,488,καί τις πρός ἀνήρ μή βλέπω ἄρκεσις
Οἰδίπους,ὅσ᾽ ἂν λέγωμεν πάνθ᾽ ὁρῶντα λέξομεν,6,494,488,494,ὅσ ̓ ἄν λέγω πάνθ ̓ ὁράω λέγω
Ξένος,οἶσθ᾽ ὦ ξέν᾽ ὡς νῦν μὴ σφαλῇς ἐπείπερ εἰ γενναῖος ὡς ἰδόντι πλὴν τοῦ δαίμονος αὐτοῦ μέν᾽ οὗπερ κἀφάνης ἕως ἐγὼ τοῖς ἐνθάδ᾽ αὐτοῦ μὴ κατ᾽ ἄστυ δημόταις λέξω τάδ᾽ ἐλθών οἵδε γὰρ κρινοῦσί σοι εἰ χρή σε μίμνειν ἢ πορεύεσθαι πάλιν,42,536,494,536,οἶσθ ̓ ὦ ξέν ̓ ὡς νῦν μή σφάλλω ἐπεί εἰ γενναῖος ὡς εἶδον πλήν ὁ δαίμων αὐτός μέν ̓ οὗπερ φαίνω ἕως ἐγώ ὁ ἐνθάδ ̓ αὐτός μή κατ ̓ ἄστυ δημότης λέγω τάδ ̓ ἔρχομαι ὅδε γάρ κρινοῦσί σύ εἰ χρή σύ μίμνω ἤ πορεύω πάλιν
Οἰδίπους,ὦ τέκνον ἦ βέβηκεν ἡμὶν ὁ ξένος,7,543,536,543,ὦ τέκνον εἰμί βαίνω ἐγώ ὁ ξένος
Ἀντιγόνη,βέβηκεν ὥστε πᾶν ἐν ἡσύχῳ πάτερ ἔξεστι φωνεῖν ὡς ἐμοῦ μόνης πέλας,12,555,543,555,βαίνω ὥστε πᾶς ἐν ἥσυχος πάτηρ ἔξεστι φωνέω ὡς ἐγώ μόνος πέλας
Οἰδίπους,ὦ πότνιαι δεινῶπες εὖτε νῦν ἕδρας πρώτων ἐφ᾽ ὑμῶν τῆσδε γῆς ἔκαμψ᾽ ἐγώ Φοίβῳ τε κἀμοὶ μὴ γένησθ᾽ ἀγνώμονες ὅς μοι τὰ πόλλ᾽ ἐκεῖν᾽ ὅτ᾽ ἐξέχρη κακά ταύτην ἔλεξε παῦλαν ἐν χρόνῳ μακρῷ ἐλθόντι χώραν τερμίαν ὅπου θεῶν σεμνῶν ἕδραν λάβοιμι καὶ ξενόστασιν ἐνταῦθα κάμψειν τὸν ταλαίπωρον βίον κέρδη μὲν οἰκήσαντα τοῖς δεδεγμένοις ἄτην δὲ τοῖς πέμψασιν οἵ μ᾽ ἀπήλασαν σημεῖα δ᾽ ἥξειν τῶνδέ μοι παρηγγύα ἢ σεισμὸν ἢ βροντήν τιν᾽ ἢ Διὸς σέλας ἔγνωκα μέν νυν ὥς με τήνδε τὴν ὁδὸν οὐκ ἔσθ᾽ ὅπως οὐ πιστὸν ἐξ ὑμῶν πτερὸν ἐξήγαγ᾽ εἰς τόδ᾽ ἄλσος οὐ γὰρ ἄν ποτε πρώταισιν ὑμῖν ἀντέκυρσ᾽ ὁδοιπορῶν νήφων ἀοίνοις κἀπὶ σεμνὸν ἑζόμην βάθρον τόδ᾽ ἀσκέπαρνον ἀλλά μοι θεαί βίου κατ᾽ ὀμφὰς τὰς Ἀπόλλωνος δότε πέρασιν ἤδη καὶ καταστροφήν τινα εἰ μὴ δοκῶ τι μειόνως ἔχειν ἀεὶ μόχθοις λατρεύων τοῖς ὑπερτάτοις βροτῶν ἴτ᾽ ὦ γλυκεῖαι παῖδες ἀρχαίου Σκότου ἴτ᾽ ὦ μεγίστης Παλλάδος καλούμεναι πασῶν Ἀθῆναι τιμιωτάτη πόλις οἰκτίρατ᾽ ἀνδρὸς Οἰδίπου τόδ᾽ ἄθλιον εἴδωλον οὐ γὰρ δὴ τόδ᾽ ἀρχαῖον δέμας,163,718,555,718,ὦ πότνια δεινώψ εὖτε νῦν ἕδρα πρῶτος ἐφ ̓ σύ ὅδε γῆ ἔκαμψ ̓ ἐγώ Φοῖβος τε ἐγώ μή γένησθ ̓ ἀγνώμων ὅς ἐγώ ὁ πόλλ ̓ ἐκεῖν ̓ ὅτ ̓ ἐκχράω2 κακός οὗτος λέγω παῦλα ἐν χρόνος μακρός ἔρχομαι χώρα τέρμιος ὅπου θεός σεμνός ἕδρα λαμβάνω καί ξενόστασις ἐνταῦθα κάμπτω ὁ ταλαίπωρος βίος κέρδος μέν οἰκέω ὁ δέχομαι ἄτη δέ ὁ πέμπω ὅς μ ̓ ἀπελαύνω σημεῖον δ ̓ ἥκω ὅδε ἐγώ παρεγγυάω ἤ σεισμός ἤ βροντή τιν ̓ ἤ Ζεύς σέλας γιγνώσκω μέν νῦν ὡς ἐγώ ὅδε ὁ ὁδός οὐ ἔσθ ̓ ὅπως οὐ πιστός ἐκ σύ πτερόν ἐξήγαγ ̓ εἰς τόδ ̓ ἄλσος οὐ γάρ ἀνά ποτέ πρότερος σύ ἀντέκυρσ ̓ ὁδοιπορέω νήφω ἄοινος ἐπί σεμνός ἕζομαι βάθρον τόδ ̓ ἀσκέπαρνος ἀλλά ἐγώ θεά βίος κατ ̓ ὀμφὰς ὁ Ἀπόλλων δίδωμι περάω1 ἤδη καί καταστροφή τις εἰ μή δοκέω τις μείων ἔχω ἀεί μόχθος λατρεύω ὁ ὑπέρ βροτός ἴτ ̓ ὦ γλυκύς παῖς ἀρχαῖος Σκότου ἴτ ̓ ὦ μέγας Παλλάς καλέω πᾶς Ἀθῆναι τίμιος πόλις οἰκτίρατ ̓ ἀνήρ Οἰδίπους τόδ ̓ ἄθλιος εἴδωλον οὐ γάρ δή τόδ ̓ ἀρχαῖος δέμας
Ἀντιγόνη,σίγα πορεύονται γὰρ οἵδε δή τινες χρόνῳ παλαιοί σῆς ἕδρας ἐπίσκοποι,11,729,718,729,σιγάω πορεύω γάρ ὅδε δή τις χρόνος παλαιός σός ἕδρα ἐπίσκοπος
Οἰδίπους,σιγήσομαί τε καὶ σύ μ᾽ ἐξ ὁδοῦ πόδα κρύψον κατ᾽ ἄλσος τῶνδ᾽ ἕως ἂν ἐκμάθω τίνας λόγους ἐροῦσιν ἐν γὰρ τῷ μαθεῖν ἔνεστιν ηὑλάβεια τῶν ποιουμένων,26,755,729,755,σιγήσομαί τε καί σύ μ ̓ ἐκ ὁδός πούς κρύπτω κατ ̓ ἄλσος τῶνδ ̓ ἕως ἄν ἐκμανθάνω τίς λόγος ἐρῶ ἐν γάρ ὁ μανθάνω ἔνειμι εὐλάβεια ὁ ποιέω
Χορός,ὅρα τίς ἄρ᾽ ἦν ποῦ ναίει ποῦ κυρεῖ ἐκτόπιος συθεὶς ὁ πάντων ὁ πάντων ἀκορέστατος προσδέρκου λεῦσσέ νιν προσπεύθου πανταχῇ πλανάτας πλανάτας τις ὁ πρέσβυς οὐδ᾽ ἔγχωρος προσέβα γὰρ οὐκ ἄν ποτ᾽ ἀστιβὲς ἄλσος ἐς τᾶνδ᾽ ἀμαιμακετᾶν κορᾶν ἃς τρέμομεν λέγειν καὶ παραμειβόμεσθ᾽ ἀδέρκτως ἀφώνως ἀλόγως τὸ τᾶς εὐφάμου στόμα φροντίδος ἱέντες τὰ δὲ νῦν τιν᾽ ἥκειν λόγος οὐδὲν ἅζονθ᾽ ὃν ἐγὼ λεύσσων περὶ πᾶν οὔπω δύναμαι τέμενος γνῶναι ποῦ μοί ποτε ναίει,73,828,755,828,ὁράω τις ἄρ ̓ εἰμί ποῦ ναίω ποῦ κυρέω ἐκτόπιος σεύω ὁ πᾶς ὁ πᾶς ἀκόρεστος προσδέρκομαι λεῦσσέ νιν προσπεύθομαι πανταχῆ πλανήτης πλανήτης τις ὁ πρέσβυς οὐδ ̓ ἔγχωρος προσβαίνω γάρ οὐ ἀνά ποτ ̓ ἀστιβὲς ἄλσος εἰς τᾶνδ ̓ ἀμαιμάκετος κόρη ὅς τρέμω λέγω καί παραμειβόμεσθ ̓ ἄδερκτος ἄφωνος ἄλογος ὁ ὁ εὔφημος στόμα φροντίς ἵημι ὁ δέ νῦν τιν ̓ ἥκω λόγος οὐδείς ἅζονθ ̓ ὅς ἐγώ λεύσσω περί πᾶς οὔπω δύναμαι τέμενος γιγνώσκω ποῦ ἐγώ ποτέ ναίω
Οἰδίπους,ὅδ᾽ ἐκεῖνος ἐγώ φωνῇ γὰρ ὁρῶ τὸ φατιζόμενον,8,836,828,836,ὅδ ̓ ἐκεῖνος ἐγώ φωνή γάρ ὁράω ὁ φατίζω
Χορός,ἰὼ ἰώ δεινὸς μὲν ὁρᾶν δεινὸς δὲ κλύειν,8,844,836,844,ἰώ ἰώ δεινός μέν ὁράω δεινός δέ κλύω
Οἰδίπους,μή μ᾽ ἱκετεύω προσίδητ᾽ ἄνομον,5,849,844,849,μή μ ̓ ἱκετεύω προσίδητ ̓ ἄνομος
Χορός,Ζεῦ ἀλεξῆτορ τίς ποθ᾽ ὁ πρέσβυς,6,855,849,855,Ζεύς ἀλεξήτωρ τις ποθ ̓ ὁ πρέσβυς
Οἰδίπους,οὐ πάνυ μοίρας εὐδαιμονίσαι πρώτης ὦ τῆσδ᾽ ἔφοροι χώρας δηλῶ δ᾽ οὐ γὰρ ἂν ὧδ᾽ ἀλλοτρίοις ὄμμασιν εἷρπον κἀπὶ σμικροῖς μέγας ὥρμουν,22,877,855,877,οὐ πάνυ μοῖρα εὐδαιμονίζω πρῶτος ὦ τῆσδ ̓ ἔφορος χώρα δηλόω δ ̓ οὐ γάρ ἄν ὧδ ̓ ἀλλότριος ὄμμα ἕρπω ἐπί μικρός μέγας ὁρμάω
Χορός,ἐή ἀλαῶν ὀμμάτων ἆρα καὶ ἦσθα φυτάλμιος δυσαίων μακραίων γ᾽ ὅσ᾽ ἐπεικάσαι ἀλλ᾽ οὐ μὰν ἔν γ᾽ ἐμοὶ προσθήσει τάσδ᾽ ἀράς περᾷς γάρ περᾷς ἀλλ᾽ ἵνα τῷδ᾽ ἐν ἀ- φθέγκτῳ μὴ προπέσῃς νάπει ποιάεντι κάθυδρος οὗ κρατὴρ μειλιχίων ποτῶν ῥεύματι συντρέχει τόν ξένε πάμμορ᾽ εὖ φύλαξαι μετάσταθ᾽ ἀπόβαθι πολ- λὰ κέλευθος ἐρατύει κλύεις ὦ πολύμοχθ᾽ ἀλᾶτα λόγον εἴ τιν᾽ οἴσεις πρὸς ἐμὰν λέσχαν ἀβάτων ἀποβάς ἵνα πᾶσι νόμος φώνει πρόσθεν δ᾽ ἀπερύκου,72,949,877,949,ἐή ἀλαόω ὄμμα ἆρα καί εἰμί φυτάλμιος δυσαής μακραίων γ ̓ ὅσ ̓ ἐπεικάζω ἀλλ ̓ οὐ μήν ἐν γ ̓ ἐγώ προσθέω τάσδ ̓ ἀρά περάω1 γάρ περάω1 ἀλλ ̓ ἵνα τῷδ ̓ ἐν ἀ- φθέγκτῳ μή προπίτνω νάπος ποιήεις κάθυδρος ἵημι κρατὴρ μειλίχιος πότης ῥεῦμα συντρέχω ὁ ξένος πάμμορ ̓ εὖ φυλάσσω μετάσταθ ̓ ἀποβαίνω πολ- λὰ κέλευθος ἐρητύω κλύω ὦ πολύμοχθ ̓ ἀλήτης λόγος εἰ τιν ̓ φέρω πρός ἐμός λέσχη ἀβάω ἀποβαίνω ἵνα πᾶς νόμος φωνέω πρόσθεν δ ̓ ἀπερύκω
Οἰδίπους,θύγατερ ποῖ τις φροντίδος ἔλθῃ,5,954,949,954,θυγάτηρ ποῖ τις φροντίς ἔρχομαι
Ἀντιγόνη,ὦ πάτερ ἀστοῖς ἴσα χρὴ μελετᾶν εἴκοντας ἃ δεῖ κἀκούοντας,10,964,954,964,ὦ πάτηρ ἀστός ἴσος χρή μελετάω εἴκω ὅς δεῖ ἀκούω
Οἰδίπους,πρόσθιγέ νύν μου,3,967,964,967,πρόσθιγέ νῦν ἐγώ
Ἀντιγόνη,ψαύω καὶ δή,3,970,967,970,ψαύω καί δή
Οἰδίπους,ὦ ξένε μὴ δῆτ᾽ ἀδικηθῶ σοὶ πιστεύσας καὶ μεταναστάς,9,979,970,979,ὦ ξένος μή δῆτ ̓ ἀδικέω σύ πιστεύω καί μετανίστημι
Χορός,οὔ τοι μήποτέ σ᾽ ἐκ τῶνδ᾽ ἑδράνων ὦ γέρον ἄκοντά τις ἄξει,12,991,979,991,οὐ σύ μήποτε σ ̓ ἐκ τῶνδ ̓ ἕδρανον ὦ γέρων ἄκοντά τις ἄγω
Οἰδίπους,ἔτ᾽ οὖν,2,993,991,993,ἔτ ̓ οὖν
Χορός,ἔτι βαῖνε πόρσω,3,996,993,996,ἔτι βαίνω πρόσω
Χορός,προβίβαζε κούρα πόρσω σὺ γὰρ ἀΐεις,6,1002,996,1002,προβιβάζω κόρη πρόσω σύ γάρ ἀίω
Ἀντιγόνη,* ἕπεο μάν ἕπε᾽ ὧδ᾽ ἀμαυρῷ κώλῳ πάτερ ᾇ σ᾽ ἄγω,11,1013,1002,1013,punc ἕπομαι μήν ἕπε ̓ ὧδ ̓ ἀμαυρός κῶλον πάτηρ ὅς σ ̓ ἄγω
Χορός,τόλμα ξεῖνος ἐπὶ ξένης ὦ τλάμων ὅ τι καὶ πόλις τέτροφεν ἄφιλον ἀποστυγεῖν καὶ τὸ φίλον σέβεσθαι,17,1030,1013,1030,τόλμα ξένος ἐπί ξένος ὦ τλήμων ὁ τις καί πόλις τρέφω ἄφιλος ἀποστυγέω καί ὁ φίλος σέβομαι
Οἰδίπους,ἄγε νυν σύ με παῖ ἵν᾽ ἂν εὐσεβίας ἐπιβαίνοντες τὸ μὲν εἴποιμεν τὸ δ᾽ ἀκούσαιμεν καὶ μὴ χρείᾳ πολεμῶμεν,19,1049,1030,1049,ἄγε νῦν σύ ἐγώ παῖς ἵν ̓ ἄν εὐσέβεια ἐπιβαίνω ὁ μέν εἶπον ὁ δ ̓ ἀκούω καί μή χρεία πολεμέω
Χορός,αὐτοῦ μηκέτι τοῦδ᾽ αὐτοπέτρου βήματος ἔξω πόδα κλίνῃς,8,1057,1049,1057,αὐτός μηκέτι τοῦδ ̓ αὐτοπέτρου βῆμα ἔξω πούς κλίνω
Χορός,ἅλις ὡς ἀκούεις,3,1060,1057,1060,ἅλις ὡς ἀκούω
Οἰδίπους,ἦ ἑσθῶ,2,1062,1060,1062,εἰμί ἕζομαι
Χορός,λέχριός γ᾽ ἐπ᾽ ἄκρου λᾶος βραχὺς ὀκλάσας,7,1069,1062,1069,λέχριός γ ̓ ἐπ ̓ ἄκρος λᾶας βραχύς ὀκλάζω
Ἀντιγόνη,πάτερ ἐμὸν τόδ᾽ ἐν ἁσυχαίᾳ,5,1074,1069,1074,πάτηρ ἐμός τόδ ̓ ἐν ἡσυχαῖος
Οἰδίπους,ἰώ μοί μοι,3,1077,1074,1077,ἰώ ἐγώ ἐγώ
Ἀντιγόνη,βάσει βάσιν ἅρμοσαι γεραὸν ἐς χέρα σῶμα σὸν προκλίνας φιλίαν ἐμάν,11,1088,1077,1088,βάσις βάσις ἁρμόζω γεραὸν εἰς χείρ σῶμα σός προκλίνω φιλία ἐμός
Οἰδίπους,ὤμοι δύσφρονος ἄτας,3,1091,1088,1091,ὤμοι δύσφρων ἄτη
