speaker,text,wordCount
Ἀντιγόνη,τὸν γοῦν ἐμὸν καὶ τὸν σόν ἢν σὺ μὴ θέλῃς ἀδελφόν οὐ γὰρ δὴ προδοῦσ᾽ ἁλώσομαι,16
Ἰσμήνη,ὦ σχετλία Κρέοντος ἀντειρηκότος,4
Ἀντιγόνη,ἀλλ᾽ οὐδὲν αὐτῷ τῶν ἐμῶν μ᾽ εἴργειν μέτα,8
Ἰσμήνη,οἴμοι φρόνησον ὦ κασιγνήτη πατὴρ ὡς νῷν ἀπεχθὴς δυσκλεής τ᾽ ἀπώλετο πρὸς αὐτοφώρων ἀμπλακημάτων διπλᾶς ὄψεις ἀράξας αὐτὸς αὐτουργῷ χερί ἔπειτα μήτηρ καὶ γυνή διπλοῦν ἔπος πλεκταῖσιν ἀρτάναισι λωβᾶται βίον τρίτον δ᾽ ἀδελφὼ δύο μίαν καθ᾽ ἡμέραν αὐτοκτονοῦντε τὼ ταλαιπώρω μόρον κοινὸν κατειργάσαντ᾽ ἐπαλλήλοιν χεροῖν νῦν δ᾽ αὖ μόνα δὴ νὼ λελειμμένα σκόπει ὅσῳ κάκιστ᾽ ὀλούμεθ᾽ εἰ νόμου βίᾳ ψῆφον τυράννων ἢ κράτη παρέξιμεν ἀλλ᾽ ἐννοεῖν χρὴ τοῦτο μὲν γυναῖχ᾽ ὅτι ἔφυμεν ὡς πρὸς ἄνδρας οὐ μαχουμένα ἔπειτα δ᾽ οὕνεκ᾽ ἀρχόμεσθ᾽ ἐκ κρεισσόνων καὶ ταῦτ᾽ ἀκούειν κἄτι τῶνδ᾽ ἀλγίονα ἐγὼ μὲν οὖν αἰτοῦσα τοὺς ὑπὸ χθονὸς ξύγγνοιαν ἴσχειν ὡς βιάζομαι τάδε τοῖς ἐν τέλει βεβῶσι πείσομαι τὸ γὰρ περισσὰ πράσσειν οὐκ ἔχει νοῦν οὐδένα,114
Ἀντιγόνη,οὔτ᾽ ἂν κελεύσαιμ᾽ οὔτ᾽ ἄν εἰ θέλοις ἔτι πράσσειν ἐμοῦ γ᾽ ἂν ἡδέως δρῴης μέτα ἀλλ᾽ ἴσθ᾽ ὁποῖά σοι δοκεῖ κεῖνον δ᾽ ἐγὼ θάψω καλόν μοι τοῦτο ποιούσῃ θανεῖν φίλη μετ᾽ αὐτοῦ κείσομαι φίλου μέτα ὅσια πανουργήσασ᾽ ἐπεὶ πλείων χρόνος ὃν δεῖ μ᾽ ἀρέσκειν τοῖς κάτω τῶν ἐνθάδε ἐκεῖ γὰρ αἰεὶ κείσομαι σοὶ δ᾽ εἰ δοκεῖ τὰ τῶν θεῶν ἔντιμ᾽ ἀτιμάσασ᾽ ἔχε,62
Ἰσμήνη,ἐγὼ μὲν οὐκ ἄτιμα ποιοῦμαι τὸ δὲ βίᾳ πολιτῶν δρᾶν ἔφυν ἀμήχανος,12
Ἀντιγόνη,σὺ μὲν τάδ᾽ ἂν προὔχοι᾽ ἐγὼ δὲ δὴ τάφον χώσουσ᾽ ἀδελφῷ φιλτάτῳ πορεύσομαι,13
Ἰσμήνη,οἴμοι ταλαίνης ὡς ὑπερδέδοικά σου,5
Ἀντιγόνη,μὴ μοῦ προτάρβει τὸν σὸν ἐξόρθου πότμον,7
Ἰσμήνη,ἀλλ᾽ οὖν προμηνύσῃς γε τοῦτο μηδενὶ τοὔργον κρυφῇ δὲ κεῦθε σὺν δ᾽ αὔτως ἐγώ,14
Ἀντιγόνη,οἴμοι καταύδα πολλὸν ἐχθίων ἔσει σιγῶσ᾽ ἐὰν μὴ πᾶσι κηρύξῃς τάδε,11
Ἰσμήνη,θερμὴν ἐπὶ ψυχροῖσι καρδίαν ἔχεις,5
Ἀντιγόνη,ἀλλ᾽ οἶδ᾽ ἀρέσκουσ᾽ οἷς μάλισθ᾽ ἁδεῖν με χρή,8
Ἰσμήνη,εἰ καὶ δυνήσει γ᾽ ἀλλ᾽ ἀμηχάνων ἐρᾷς,7
Ἀντιγόνη,οὐκοῦν ὅταν δὴ μὴ σθένω πεπαύσομαι,6
Ἰσμήνη,ἀρχὴν δὲ θηρᾶν οὐ πρέπει τἀμήχανα,6
Ἀντιγόνη,εἰ ταῦτα λέξεις ἐχθαρεῖ μὲν ἐξ ἐμοῦ ἐχθρὰ δὲ τῷ θανόντι προσκείσει δίκῃ ἀλλ᾽ ἔα με καὶ τὴν ἐξ ἐμοῦ δυσβουλίαν παθεῖν τὸ δεινὸν τοῦτο πείσομαι γὰρ οὐ τοσοῦτον οὐδὲν ὥστε μὴ οὐ καλῶς θανεῖν,35
Ἰσμήνη,ἀλλ᾽ εἰ δοκεῖ σοι στεῖχε τοῦτο δ᾽ ἴσθ᾽ ὅτι ἄνους μὲν ἔρχει τοῖς φίλοις δ᾽ ὀρθῶς φίλη,17
Χορός,ἀκτὶς ἀελίου τὸ κάλλιστον ἑπταπύλῳ φανὲν Θήβᾳ τῶν προτέρων φάος ἐφάνθης ποτ᾽ ὦ χρυσέας ἁμέρας βλέφαρον Διρκαίων ὑπὲρ ῥεέθρων μολοῦσα τὸν λεύκασπιν Ἀργόθεν ἐκβάντα φῶτα πανσαγίᾳ φυγάδα πρόδρομον ὀξυτέρῳ κινήσασα χαλινῷ,31
Χορός,ὃς ἐφ᾽ ἡμετέρᾳ γᾷ Πολυνείκους ἀρθεὶς νεικέων ἐξ ἀμφιλόγων ὀξέα κλάζων ἀετὸς εἰς γᾶν ὣς ὑπερέπτα λευκῆς χιόνος πτέρυγι στεγανός πολλῶν μεθ᾽ ὅπλων ξύν θ᾽ ἱπποκόμοις κορύθεσσιν,27
Χορός,ξύν θ᾽ ἱπποκόμοις κορύθεσσιν στὰς δ᾽ ὑπὲρ μελάθρων φονώσαισιν ἀμφιχανὼν κύκλῳ λόγχαις ἑπτάπυλον στόμα ἔβα πρίν ποθ᾽ ἁμετέρων αἱμάτων γένυσιν πλησθῆναί τε καὶ στεφάνωμα πύργων πευκάενθ᾽ Ἥφαιστον ἑλεῖν τοῖος ἀμφὶ νῶτ᾽ ἐτάθη πάταγος Ἄρεος ἀντιπάλῳ δυσχείρωμα δράκοντος,37
Χορός,Ζεὺς γὰρ μεγάλης γλώσσης κόμπους ὑπερεχθαίρει καὶ σφας ἐσιδὼν πολλῷ ῥεύματι προσνισσομένους χρυσοῦ καναχῆς ὑπεροπλίαις παλτῷ ῥιπτεῖ πυρὶ βαλβίδων ἐπ᾽ ἄκρων ἤδη νίκην ὁρμῶντ᾽ ἀλαλάξαι,25
Χορός,ἀντιτύπᾳ δ᾽ ἐπὶ γᾷ πέσε τανταλωθεὶς πυρφόρος ὃς τότε μαινομένᾳ ξὺν ὁρμᾷ βακχεύων ἐπέπνει ῥιπαῖς ἐχθίστων ἀνέμων εἶχε δ᾽ ἄλλᾳ τὰ μέν ἄλλα δ᾽ ἐπ᾽ ἄλλοις ἐπενώμα στυφελίζων μέγας Ἄρης δεξιόσειρος,31
Χορός,ἑπτὰ λοχαγοὶ γὰρ ἐφ᾽ ἑπτὰ πύλαις ταχθέντες ἴσοι πρὸς ἴσους ἔλιπον Ζηνὶ τροπαίῳ πάγχαλκα τέλη πλὴν τοῖν στυγεροῖν ὣ πατρὸς ἑνὸς μητρός τε μιᾶς φύντε καθ᾽ αὑτοῖν δικρατεῖς λόγχας στήσαντ᾽ ἔχετον κοινοῦ θανάτου μέρος ἄμφω,35
Χορός,ἀλλὰ γὰρ ἁ μεγαλώνυμος ἦλθε Νίκα τᾷ πολυαρμάτῳ ἀντιχαρεῖσα Θήβᾳ ἐκ μὲν δὴ πολέμων τῶν νῦν θέσθαι λησμοσύναν θεῶν δὲ ναοὺς χοροῖς παννυχίοις πάντας ἐπέλθωμεν ὁ Θήβας δ᾽ ἐλελίχθων Βάκχιος ἄρχοι,31
Χορός,ἀλλ᾽ ὅδε γὰρ δὴ βασιλεὺς χώρας Κρέων ὁ Μενοικέως ἄρχων νεοχμὸς νεαραῖσι θεῶν ἐπὶ συντυχίαις χωρεῖ τίνα δὴ μῆτιν ἐρέσσων ὅτι σύγκλητον τήνδε γερόντων προὔθετο λέσχην κοινῷ κηρύγματι πέμψας,29
Κρέων,ἄνδρες τὰ μὲν δὴ πόλεος ἀσφαλῶς θεοὶ πολλῷ σάλῳ σείσαντες ὤρθωσαν πάλιν ὑμᾶς δ᾽ ἐγὼ πομποῖσιν ἐκ πάντων δίχα ἔστειλ᾽ ἱκέσθαι τοῦτο μὲν τὰ Λαΐου σέβοντας εἰδὼς εὖ θρόνων ἀεὶ κράτη τοῦτ᾽ αὖθις ἡνίκ᾽ Οἰδίπους ὤρθου πόλιν κἀπεὶ διώλετ᾽ ἀμφὶ τοὺς κείνων ἔτι παῖδας μένοντας ἐμπέδοις φρονήμασιν ὅτ᾽ οὖν ἐκεῖνοι πρὸς διπλῆς μοίρας μίαν καθ᾽ ἡμέραν ὤλοντο παίσαντές τε καὶ πληγέντες αὐτόχειρι σὺν μιάσματι ἐγὼ κράτη δὴ πάντα καὶ θρόνους ἔχω γένους κατ᾽ ἀγχιστεῖα τῶν ὀλωλότων ἀμήχανον δὲ παντὸς ἀνδρὸς ἐκμαθεῖν ψυχήν τε καὶ φρόνημα καὶ γνώμην πρὶν ἂν ἀρχαῖς τε καὶ νόμοισιν ἐντριβὴς φανῇ ἐμοὶ γὰρ ὅστις πᾶσαν εὐθύνων πόλιν μὴ τῶν ἀρίστων ἅπτεται βουλευμάτων ἀλλ᾽ ἐκ φόβου του γλῶσσαν ἐγκλῄσας ἔχει κάκιστος εἶναι νῦν τε καὶ πάλαι δοκεῖ καὶ μεῖζον ὅστις ἀντὶ τῆς αὑτοῦ πάτρας φίλον νομίζει τοῦτον οὐδαμοῦ λέγω ἐγὼ γάρ ἴστω Ζεὺς ὁ πάνθ᾽ ὁρῶν ἀεί οὔτ᾽ ἂν σιωπήσαιμι τὴν ἄτην ὁρῶν στείχουσαν ἀστοῖς ἀντὶ τῆς σωτηρίας οὔτ᾽ ἂν φίλον ποτ᾽ ἄνδρα δυσμενῆ χθονὸς θείμην ἐμαυτῷ τοῦτο γιγνώσκων ὅτι ἥδ᾽ ἐστὶν ἡ σῴζουσα καὶ ταύτης ἔπι πλέοντες ὀρθῆς τοὺς φίλους ποιούμεθα τοιοῖσδ᾽ ἐγὼ νόμοισι τήνδ᾽ αὔξω πόλιν καὶ νῦν ἀδελφὰ τῶνδε κηρύξας ἔχω ἀστοῖσι παίδων τῶν ἀπ᾽ Οἰδίπου πέρι Ἐτεοκλέα μέν ὃς πόλεως ὑπερμαχῶν ὄλωλε τῆσδε πάντ᾽ ἀριστεύσας δόρει τάφῳ τε κρύψαι καὶ τὰ πάντ᾽ ἀφαγνίσαι ἃ τοῖς ἀρίστοις ἔρχεται κάτω νεκροῖς τὸν δ᾽ αὖ ξύναιμον τοῦδε Πολυνείκη λέγω ὃς γῆν πατρῴαν καὶ θεοὺς τοὺς ἐγγενεῖς φυγὰς κατελθὼν ἠθέλησε μὲν πυρὶ πρῆσαι κατ᾽ ἄκρας ἠθέλησε δ᾽ αἵματος κοινοῦ πάσασθαι τοὺς δὲ δουλώσας ἄγειν τοῦτον πόλει τῇδ᾽ ἐκκεκήρυκται τάφῳ μήτε κτερίζειν μήτε κωκῦσαί τινα ἐᾶν δ᾽ ἄθαπτον καὶ πρὸς οἰωνῶν δέμας καὶ πρὸς κυνῶν ἐδεστὸν αἰκισθέν τ᾽ ἰδεῖν τοιόνδ᾽ ἐμὸν φρόνημα κοὔποτ᾽ ἔκ γ᾽ ἐμοῦ τιμὴν προέξουσ᾽ οἱ κακοὶ τῶν ἐνδίκων ἀλλ᾽ ὅστις εὔνους τῇδε τῇ πόλει θανὼν καὶ ζῶν ὁμοίως ἐξ ἐμοῦ τιμήσεται,297
Χορός,σοὶ ταῦτ᾽ ἀρέσκει παῖ Μενοικέως Κρέον τὸν τῇδε δύσνουν κἀς τὸν εὐμενῆ πόλει νόμῳ δὲ χρῆσθαι παντί που πάρεστί σοι καὶ τῶν θανόντων χὠπόσοι ζῶμεν πέρι,26
Κρέων,ὡς ἂν σκοποὶ νῦν εἴτε τῶν εἰρημένων,7
Χορός,νεωτέρῳ τῳ τοῦτο βαστάζειν πρόθες,5
Κρέων,ἀλλ᾽ εἴσ᾽ ἑτοῖμοι τοῦ νεκροῦ γ᾽ ἐπίσκοποι,7
Χορός,τί δῆτ᾽ ἂν ἄλλο τοῦτ᾽ ἐπεντέλλοις ἔτι,7
Κρέων,τὸ μὴ πιχωρεῖν τοῖς ἀπιστοῦσιν τάδε,6
Χορός,οὔκ ἔστιν οὕτω μῶρος ὃς θανεῖν ἐρᾷ,7
Κρέων,καὶ μὴν ὁ μισθός γ᾽ οὗτος ἀλλ᾽ ὑπ᾽ ἐλπίδων ἄνδρας τὸ κέρδος πολλάκις διώλεσεν,14
Φύλαξ,ἄναξ ἐρῶ μὲν οὐχ ὅπως τάχους ὕπο δύσπνους ἱκάνω κοῦφον ἐξάρας πόδα πολλὰς γὰρ ἔσχον φροντίδων ἐπιστάσεις ὁδοῖς κυκλῶν ἐμαυτὸν εἰς ἀναστροφήν ψυχὴ γὰρ ηὔδα πολλά μοι μυθουμένη τάλας τί χωρεῖς οἷ μολὼν δώσεις δίκην τλήμων μενεῖς αὖ κεἰ τάδ᾽ εἴσεται Κρέων ἄλλου παρ᾽ ἀνδρός πῶς σὺ δῆτ᾽ οὐκ ἀλγύνει τοιαῦθ᾽ ἑλίσσων ἤνυτον σχολῇ βραδύς χοὔτως ὁδὸς βραχεῖα γίγνεται μακρά τέλος γε μέντοι δεῦρ᾽ ἐνίκησεν μολεῖν σοί κεἰ τὸ μηδὲν ἐξερῶ φράσω δ᾽ ὅμως τῆς ἐλπίδος γὰρ ἔρχομαι δεδραγμένος τὸ μὴ παθεῖν ἂν ἄλλο πλὴν τὸ μόρσιμον,87
Κρέων,τί δ᾽ ἐστὶν ἀνθ᾽ οὗ τήνδ᾽ ἔχεις ἀθυμίαν,8
Φύλαξ,φράσαι θέλω σοι πρῶτα τἀμαυτοῦ τὸ γὰρ πρᾶγμ᾽ οὔτ᾽ ἔδρασ᾽ οὔτ᾽ εἶδον ὅστις ἦν ὁ δρῶν οὐδ᾽ ἂν δικαίως ἐς κακὸν πέσοιμί τι,23
Κρέων,εὖ γε στοχάζει κἀποφάργνυσαι κύκλῳ τὸ πρᾶγμα δηλοῖς δ᾽ ὥς τι σημανῶν νέον,13
Φύλαξ,τὰ δεινὰ γάρ τοι προστίθησ᾽ ὄκνον πολύν,7
Κρέων,οὔκουν ἐρεῖς ποτ᾽ εἶτ᾽ ἀπαλλαχθεὶς ἄπει,6
Φύλαξ,καὶ δὴ λέγω σοι τὸν νεκρόν τις ἀρτίως θάψας βέβηκε κἀπὶ χρωτὶ διψίαν κόνιν παλύνας κἀφαγιστεύσας ἃ χρή,18
Κρέων,τί φής τίς ἀνδρῶν ἦν ὁ τολμήσας τάδε,8
Φύλαξ,οὐκ οἶδ᾽ ἐκεῖ γὰρ οὔτε του γενῇδος ἦν πλῆγμ᾽ οὐ δικέλλης ἐκβολή στύφλος δὲ γῆ καὶ χέρσος ἀρρὼξ οὐδ᾽ ἐπημαξευμένη τροχοῖσιν ἀλλ᾽ ἄσημος οὑργάτης τις ἦν ὅπως δ᾽ ὁ πρῶτος ἡμὶν ἡμεροσκόπος δείκνυσι πᾶσι θαῦμα δυσχερὲς παρῆν ὁ μὲν γὰρ ἠφάνιστο τυμβήρης μὲν οὔ λεπτὴ δ᾽ ἄγος φεύγοντος ὥς ἐπῆν κόνις σημεῖα δ᾽ οὔτε θηρὸς οὔτε του κυνῶν ἐλθόντος οὐ σπάσαντος ἐξεφαίνετο λόγοι δ᾽ ἐν ἀλλήλοισιν ἐρρόθουν κακοί φύλαξ ἐλέγχων φύλακα κἂν ἐγίγνετο πληγὴ τελευτῶσ᾽ οὐδ᾽ ὁ κωλύσων παρῆν εἷς γάρ τις ἦν ἕκαστος οὑξειργασμένος κοὐδεὶς ἐναργής ἀλλ᾽ ἔφευγε μὴ εἰδέναι ἦμεν δ᾽ ἑτοῖμοι καὶ μύδρους αἴρειν χεροῖν καὶ πῦρ διέρπειν καὶ θεοὺς ὁρκωμοτεῖν τὸ μήτε δρᾶσαι μήτε τῳ ξυνειδέναι τὸ πρᾶγμα βουλεύσαντι μηδ᾽ εἰργασμένῳ τέλος δ᾽ ὅτ᾽ οὐδὲν ἦν ἐρευνῶσιν πλέον λέγει τις εἷς ὃ πάντας ἐς πέδον κάρα νεῦσαι φόβῳ προὔτρεψεν οὐ γὰρ εἴχομεν οὔτ᾽ ἀντιφωνεῖν οὔθ᾽ ὅπως δρῶντες καλῶς πράξαιμεν ἦν δ᾽ ὁ μῦθος ὡς ἀνοιστέον σοὶ τοὔργον εἴη τοῦτο κοὐχὶ κρυπτέον καὶ ταῦτ᾽ ἐνίκα κἀμὲ τὸν δυσδαίμονα πάλος καθαιρεῖ τοῦτο τἀγαθὸν λαβεῖν πάρειμι δ᾽ ἄκων οὐχ ἑκοῦσιν οἶδ᾽ ὅτι στέργει γὰρ οὐδεὶς ἄγγελον κακῶν ἐπῶν,179
Χορός,ἄναξ ἐμοί τοί μή τι καὶ θεήλατον τοὔργον τόδ᾽ ἡ ξύννοια βουλεύει πάλαι,13
Κρέων,παῦσαι πρὶν ὀργῆς καὶ μὲ μεστῶσαι λέγων μὴ φευρεθῇς ἄνους τε καὶ γέρων ἅμα λέγεις γὰρ οὐκ ἀνεκτὰ δαίμονας λέγων πρόνοιαν ἴσχειν τοῦδε τοῦ νεκροῦ πέρι πότερον ὑπερτιμῶντες ὡς εὐεργέτην ἔκρυπτον αὐτόν ὅστις ἀμφικίονας ναοὺς πυρώσων ἦλθε κἀναθήματα καὶ γῆν ἐκείνων καὶ νόμους διασκεδῶν ἢ τοὺς κακοὺς τιμῶντας εἰσορᾷς θεούς οὔκ ἔστιν ἀλλὰ ταῦτα καὶ πάλαι πόλεως ἄνδρες μόλις φέροντες ἐρρόθουν ἐμοί κρυφῇ κάρα σείοντες οὐδ᾽ ὑπὸ ζυγῷ λόφον δικαίως εἶχον ὡς στέργειν ἐμέ ἐκ τῶνδε τούτους ἐξεπίσταμαι καλῶς παρηγμένους μισθοῖσιν εἰργάσθαι τάδε οὐδὲν γὰρ ἀνθρώποισιν οἷον ἄργυρος κακὸν νόμισμ᾽ ἔβλαστε τοῦτο καὶ πόλεις πορθεῖ τόδ᾽ ἄνδρας ἐξανίστησιν δόμων τόδ᾽ ἐκδιδάσκει καὶ παραλλάσσει φρένας χρηστὰς πρὸς αἰσχρὰ πράγματ᾽ ἵστασθαι βροτῶν πανουργίας δ᾽ ἔδειξεν ἀνθρώποις ἔχειν καὶ παντὸς ἔργου δυσσέβειαν εἰδέναι ὅσοι δὲ μισθαρνοῦντες ἤνυσαν τάδε χρόνῳ ποτ᾽ ἐξέπραξαν ὡς δοῦναι δίκην ἀλλ᾽ εἴπερ ἴσχει Ζεὺς ἔτ᾽ ἐξ ἐμοῦ σέβας εὖ τοῦτ᾽ ἐπίστασ᾽ ὅρκιος δέ σοι λέγω εἰ μὴ τὸν αὐτόχειρα τοῦδε τοῦ τάφου εὑρόντες ἐκφανεῖτ᾽ ἐς ὀφθαλμοὺς ἐμούς οὐχ ὑμὶν Ἅιδης μοῦνος ἀρκέσει πρὶν ἂν ζῶντες κρεμαστοὶ τήνδε δηλώσηθ᾽ ὕβριν ἵν᾽ εἰδότες τὸ κέρδος ἔνθεν οἰστέον τὸ λοιπὸν ἁρπάζητε καὶ μάθηθ᾽ ὅτι οὐκ ἐξ ἅπαντος δεῖ τὸ κερδαίνειν φιλεῖν ἐκ τῶν γὰρ αἰσχρῶν λημμάτων τοὺς πλείονας ἀτωμένους ἴδοις ἂν ἢ σεσωσμένους,201
Φύλαξ,εἰπεῖν τι δώσεις ἢ στραφεὶς οὕτως ἴω,7
Κρέων,οὐκ οἶσθα καὶ νῦν ὡς ἀνιαρῶς λέγεις,7
Φύλαξ,ἐν τοῖσιν ὠσὶν ἢ πὶ τῇ ψυχῇ δάκνει,8
Κρέων,τί δὲ ῥυθμίζεις τὴν ἐμὴν λύπην ὅπου,7
Φύλαξ,ὁ δρῶν σ᾽ ἀνιᾷ τὰς φρένας τὰ δ᾽ ὦτ᾽ ἐγώ,10
Κρέων,οἴμ᾽ ὡς λάλημα δῆλον ἐκπεφυκὸς εἶ,6
Φύλαξ,οὔκουν τό γ᾽ ἔργον τοῦτο ποιήσας ποτέ,7
Κρέων,καὶ ταῦτ᾽ ἐπ᾽ ἀργύρῳ γε τὴν ψυχὴν προδούς,8
Φύλαξ,φεῦ ἦ δεινὸν ᾧ δοκῇ γε καὶ ψευδῆ δοκεῖν,9
Κρέων,κόμψευέ νυν τὴν δόξαν εἰ δὲ ταῦτα μὴ φανεῖτέ μοι τοὺς δρῶντας ἐξερεῖθ᾽ ὅτι τὰ δειλὰ κέρδη πημονὰς ἐργάζεται,19
Φύλαξ,ἀλλ᾽ εὑρεθείη μὲν μάλιστ᾽ ἐὰν δέ τοι ληφθῇ τε καὶ μή τοῦτο γὰρ τύχη κρινεῖ οὐκ ἔσθ᾽ ὅπως ὄψει σὺ δεῦρ᾽ ἐλθόντα με καὶ νῦν γὰρ ἐκτὸς ἐλπίδος γνώμης τ᾽ ἐμῆς σωθεὶς ὀφείλω τοῖς θεοῖς πολλὴν χάριν,37
Χορός,πολλὰ τὰ δεινὰ κοὐδὲν ἀνθρώπου δεινότερον πέλει τοῦτο καὶ πολιοῦ πέραν πόντου χειμερίῳ νότῳ χωρεῖ περιβρυχίοισιν περῶν ὑπ᾽ οἴδμασιν θεῶν τε τὰν ὑπερτάταν Γᾶν ἄφθιτον ἀκαμάταν ἀποτρύεται ἰλλομένων ἀρότρων ἔτος εἰς ἔτος ἱππείῳ γένει πολεύων,35
Χορός,κουφονόων τε φῦλον ὀρνίθων ἀμφιβαλὼν ἄγει καὶ θηρῶν ἀγρίων ἔθνη πόντου τ᾽ εἰναλίαν φύσιν σπείραισι δικτυοκλώστοις περιφραδὴς ἀνήρ κρατεῖ δὲ μηχαναῖς ἀγραύλου θηρὸς ὀρεσσιβάτα λασιαύχενά θ᾽ ἵππον ὀχμάζεται ἀμφὶ λόφον ζυγῶν οὔρειόν τ᾽ ἀκμῆτα ταῦρον,35
Χορός,καὶ φθέγμα καὶ ἀνεμόεν φρόνημα καὶ ἀστυνόμους ὀργὰς ἐδιδάξατο καὶ δυσαύλων πάγων ὑπαίθρεια καὶ δύσομβρα φεύγειν βέλη παντοπόρος ἄπορος ἐπ᾽ οὐδὲν ἔρχεται τὸ μέλλον Ἅιδα μόνον φεῦξιν οὐκ ἐπάξεται νόσων δ᾽ ἀμηχάνων φυγὰς ξυμπέφρασται,34
Χορός,σοφόν τι τὸ μηχανόεν τέχνας ὑπὲρ ἐλπίδ᾽ ἔχων τοτὲ μὲν κακόν ἄλλοτ᾽ ἐπ᾽ ἐσθλὸν ἕρπει νόμους γεραίρων χθονὸς θεῶν τ᾽ ἔνορκον δίκαν ὑψίπολις ἄπολις ὅτῳ τὸ μὴ καλὸν ξύνεστι τόλμας χάριν μήτ᾽ ἐμοὶ παρέστιος γένοιτο μήτ᾽ ἴσον φρονῶν ὃς τάδ᾽ ἔρδει,41
Χορός,ἐς δαιμόνιον τέρας ἀμφινοῶ τόδε πῶς εἰδὼς ἀντιλογήσω τήνδ᾽ οὐκ εἶναι παῖδ᾽ Ἀντιγόνην ὦ δύστηνος καὶ δυστήνου πατρὸς Οἰδιπόδα τί ποτ᾽ οὐ δή που σέ γ᾽ ἀπιστοῦσαν τοῖς βασιλείοισιν ἄγουσι νόμοις καὶ ἐν ἀφροσύνῃ καθελόντες,35
Φύλαξ,ἥδ᾽ ἔστ᾽ ἐκείνη τοὔργον ἡ ξειργασμένη τήνδ᾽ εἵλομεν θάπτουσαν ἀλλὰ ποῦ Κρέων,12
Χορός,ὅδ᾽ ἐκ δόμων ἄψορρος εἰς δέον περᾷ,7
